id,code,name,full_path
95,Lekutu,Lekutu,Northern|Bua|Lekutu
164,Wairiki,Wairiki,Northern|Cakaudrove|Wairiki
16,Nadroga ,Nadroga ,Western|Nadroga
35,Nagonenicolo,Nagonenicolo,Central|Naitasiri|Nagonenicolo
37,Viria,Viria,Central|Naitasiri|Viria
145,Vugalei,Vugalei,Central|Tailevu|Vugalei
180,Dawasamu,Dawasamu,Central|Tailevu|Dawasamu
4,Tokaimalo,Tokaimalo,Western|Ra|Tokaimalo
182,Nayavu,Nayavu,Central|Tailevu|Nayavu
202,Bureivanua,Bureivanua,Western|Ra|Bureivanua
186,Nasautoka,Nasautoka,Central|Tailevu|Nasautoka
87,Bua,Bua,Northern|Bua|Bua
66,Namena,Namena,Central|Tailevu|Namena
10,Nalaba,Nalaba,Western|Ra|Nalaba
55,Nawaidi,Nawaidi,Central|Naitasiri|Nawaidi
90,Dama,Dama,Northern|Bua|Dama
192,Naqalimare,Naqalimare,Western|Navosa|Naqalimare
200,Burewai,Burewai,Western|Ra|Burewai
61,Namosi,Namosi,Central|Namosi|Namosi
163,Koroalau,Koroalau,Northern|Cakaudrove|Koroalau
135,Natewa,Natewa,Northern|Cakaudrove|Natewa
137,Savusavu,Savusavu,Northern|Cakaudrove|Savusavu
51,Muaira,Muaira,Central|Naitasiri|Muaira
57,Naboubuco,Naboubuco,Central|Naitasiri|Naboubuco
133,Cakaudrove,Cakaudrove,Northern|Cakaudrove|Cakaudrove
67,Nausori,Nausori,Central|Tailevu|Nausori
193,Bemana,Bemana,Western|Navosa|Bemana
52,Nadaravakawalu,Nadaravakawalu,Central|Naitasiri|Nadaravakawalu
31,Naitasiri,Naitasiri,Central|Naitasiri|Naitasiri
40,Lutu,Lutu,Central|Naitasiri|Lutu
194,Navatusila,Navatusila,Western|Navosa|Navatusila
54,Rara,Rara,Central|Naitasiri|Rara
39,Waima,Waima,Central|Naitasiri|Waima
97,Lovoni,Lovoni,Eastern|Lomaiviti|Lovoni
80,Levuka,Levuka,Eastern|Lomaiviti|Levuka
136,Navatu,Navatu,Northern|Cakaudrove|Navatu
146,Namalata,Namalata,Central|Tailevu|Namalata
115,Nailuva,Nailuva,Western|Ra|Nailuva
196,Noikoro,Noikoro,Western|Navosa|Noikoro
3,Naiyalayala,Naiyalayala,Western|Ra|Naiyalayala
183,Naloto,Naloto,Central|Tailevu|Naloto
69,Taivugalei,Taivugalei,Central|Tailevu|Taivugalei
108,Veinuqa,Veinuqa,Central|Namosi|Veinuqa
195,Conua,Conua,Western|Navosa|Conua
91,Navalasiga,Navalasiga,Northern|Bua|Navalasiga
148,Dravo,Dravo,Central|Tailevu|Dravo
165,Tuavuki,Tuavuki,Eastern|Kadavu|Tuavuki
191,Mavua,Mavua,Western|Navosa|Mavua
56,Noimalu,Noimalu,Central|Naitasiri|Noimalu
190,Waicoba,Waicoba,Western|Navosa|Waicoba
130,Naweni,Naweni,Northern|Cakaudrove|Naweni
96,Kubulau,Kubulau,Northern|Bua|Kubulau
53,Navuakece,Navuakece,Central|Naitasiri|Navuakece
126,Namataku,Namataku,Western|Navosa|Namataku
7,Nakuailava,Nakuailava,Western|Ra|Nakuailava
112,Batiwai,Batiwai,Central|Serua|Batiwai
103,Moturiki,Moturiki,Eastern|Lomaiviti|Moturiki
33,Nabaitavo,Nabaitavo,Central|Naitasiri|Nabaitavo
107,Naqarawai,Naqarawai,Central|Namosi|Naqarawai
184,Nailega,Nailega,Central|Tailevu|Nailega
207,Raviravi,Raviravi,Central|Rewa|Raviravi
